City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
401,ino,JP,broken clouds,75.22,33.55,133.43,Kanponoyado Ino
402,boryslav,UA,overcast clouds,66.99,49.29,23.43,Vernygora
404,namibe,AO,clear sky,67.39,-15.2,12.15,Hotel Chik Chik Namibe
405,tooele,US,clear sky,81.0,40.53,-112.3,Holiday Inn Express & Suites Tooele
407,san jeronimo,PE,scattered clouds,63.73,-11.95,-75.28,Tuki Llajta Pueblo Bonito Eco Lodge
409,vallenar,CL,overcast clouds,73.62,-28.57,-70.76,Humacao Bed & Breakfast
410,miri,MY,scattered clouds,75.2,4.41,114.01,"Mega Hotel, Miri"
411,dalipey,PH,overcast clouds,63.93,16.8,120.72,
413,batagay-alyta,RU,broken clouds,69.04,67.8,130.41,
415,port-gentil,GA,scattered clouds,73.4,-0.72,8.78,Fengshui Residence
416,nioro,GM,overcast clouds,89.06,13.35,-15.75,
417,havre-saint-pierre,CA,clear sky,71.6,50.23,-63.6,Auberge Niapiskau
420,cape canaveral,US,light rain,86.0,28.41,-80.6,Residence Inn by Marriott Cape Canaveral Cocoa Beach
422,haikou,CN,overcast clouds,84.2,20.05,110.34,Sun City Restaurant
423,marshfield,US,clear sky,77.0,44.67,-90.17,Holiday Inn Conference Ctr Marshfield
424,praya,CV,few clouds,80.6,14.92,-23.51,LT Aparthotel
425,airdrie,GB,overcast clouds,75.0,55.87,-3.98,Dakota Hotel Eurocentral
426,lima,PE,overcast clouds,62.6,-12.04,-77.03,Gran Hotel Bolivar Lima
427,grand-lahou,CI,overcast clouds,77.32,5.14,-5.02,Hotel Beatitude de Grand Lahou
428,otradnoye,RU,clear sky,73.4,59.78,30.82,Baza otdikha Petrushinsky Khutor
431,sayyan,YE,broken clouds,68.56,15.17,44.32,الاستاذة مروى اليوسفي
436,sanica,BA,clear sky,75.2,44.61,16.64,Eko Oaza Mira Sanica
437,cabinda,AO,overcast clouds,74.43,-5.55,12.2,"Hotel Executivo , 3 estrelas"
439,itarema,BR,clear sky,83.48,-2.92,-39.92,Windvillage
440,north bend,US,clear sky,79.0,43.41,-124.22,Red Lion Hotel Coos Bay
441,wainwright,CA,few clouds,71.98,52.84,-110.86,Ramada by Wyndham Wainwright
442,lodwar,KE,clear sky,87.46,3.12,35.6,Turkwel Lodge
444,harper,LR,overcast clouds,76.91,4.38,-7.72,Screensaver
