City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
186,Amurrio,43.05,-3.0,69.8,88,100,2.8,ES,2020-06-24 23:15:44
187,Cabo San Lucas,22.89,-109.91,93.2,17,5,16.11,MX,2020-06-24 23:15:44
188,Palmerston,-12.49,130.98,73.0,56,20,9.17,AU,2020-06-24 23:15:44
189,Mapiri,-15.25,-68.17,70.0,89,31,1.1,BO,2020-06-24 23:15:44
190,Ziro,27.63,93.83,58.78,100,99,0.47,IN,2020-06-24 23:15:44
191,Hambantota,6.12,81.12,79.95,80,100,15.82,LK,2020-06-24 23:15:45
192,Vodnyy,63.5,53.41,42.37,92,99,6.69,RU,2020-06-24 23:15:45
193,Shimanovsk,52.0,127.7,62.91,64,9,7.99,RU,2020-06-24 23:15:45
194,Somerset East,-32.72,25.59,54.59,37,0,9.17,ZA,2020-06-24 23:15:45
195,Akranes,64.32,-22.07,50.0,81,90,8.05,IS,2020-06-24 23:15:45
196,Thompson,55.74,-97.86,82.4,30,75,12.75,CA,2020-06-24 23:15:45
197,Bonavista,48.65,-53.11,62.38,88,39,15.66,CA,2020-06-24 23:14:39
198,Mount Isa,-20.73,139.5,53.6,40,0,1.12,AU,2020-06-24 23:15:46
199,Loukhi,66.08,33.04,52.27,96,100,2.84,RU,2020-06-24 23:15:46
200,Gretna,29.91,-90.05,77.0,88,90,3.36,US,2020-06-24 23:15:46
201,Cape Town,-33.93,18.42,59.0,66,1,8.05,ZA,2020-06-24 23:13:28
202,Vokhma,58.93,46.76,39.22,87,0,3.76,RU,2020-06-24 23:15:46
203,Ekimchan,53.07,132.97,56.52,63,100,4.07,RU,2020-06-24 23:15:46
204,Tautira,-17.73,-149.15,80.6,83,75,10.29,PF,2020-06-24 23:15:47
205,Dumai,1.68,101.45,72.93,95,73,2.3,ID,2020-06-24 23:15:47
206,Lima,-12.04,-77.03,62.6,82,90,8.05,PE,2020-06-24 23:13:22
207,Shellbrook,53.22,-106.4,73.4,73,90,13.87,CA,2020-06-24 23:15:47
208,Milford,41.22,-73.06,84.99,32,1,9.17,US,2020-06-24 23:13:12
209,Richards Bay,-28.78,32.04,63.7,69,0,13.09,ZA,2020-06-24 23:15:47
210,Siuna,13.73,-84.78,83.17,69,75,4.65,NI,2020-06-24 23:15:47
211,Severo-Kurilsk,50.68,156.12,52.45,75,8,6.89,RU,2020-06-24 23:15:47
212,Pangody,65.85,74.49,49.48,87,99,11.92,RU,2020-06-24 23:15:48
